id,year,stock,between,out_degree,in_degree,oil,inv,l,open,oilout_degree,oilin_degree,oilbetween
31,2016,0.0673,0.0000,8.0000,1.0000,0.3718,0.3800,0.4235,0.6490,2.9743,0.3718,0.0000
31,2017,-0.1258,0.3333,9.0000,2.0000,0.1175,0.3800,0.4235,0.6490,1.0578,0.2351,0.0392
32,2008,-0.8713,12.7226,1.0000,5.0000,-0.7213,0.1921,0.7128,0.8943,-0.7213,-3.6067,-9.1773
32,2009,0.4703,0.0000,0.0000,5.0000,0.5763,0.1755,0.7343,0.8014,0.0000,2.8813,0.0000
32,2010,0.2475,0.0000,0.0000,6.0000,0.1410,0.1581,0.7533,0.8607,0.0000,0.8462,0.0000
32,2011,-0.0578,0.1429,1.0000,5.0000,0.0784,0.1412,0.7463,0.9872,0.0784,0.3919,0.0112
32,2012,0.3986,0.0000,0.0000,3.0000,-0.0736,0.1508,0.7443,1.0575,0.0000,-0.2207,0.0000
32,2013,0.4016,0.0000,1.0000,3.0000,0.0694,0.1496,0.7453,1.0238,0.0694,0.2082,0.0000
32,2014,0.2406,3.8190,5.0000,3.0000,-0.6139,0.1463,0.7490,0.9903,-3.0694,-1.8416,-2.3444
32,2015,0.0211,8.1429,4.0000,3.0000,-0.3634,0.1548,0.7545,0.9206,-1.4535,-1.0901,-2.9589
32,2016,0.3762,0.0000,2.0000,3.0000,0.3718,0.1521,0.7504,0.8911,0.7436,1.1154,0.0000
32,2017,-0.1666,0.9338,2.0000,4.0000,0.1175,0.1521,0.7504,0.8911,0.2351,0.4701,0.1098
33,2008,-0.5561,0.0000,2.0000,8.0000,-0.7213,0.1929,0.3456,0.9610,-1.4427,-5.7707,0.0000
33,2009,0.4886,4.7944,3.0000,11.0000,0.5763,0.1659,0.3484,0.8486,1.7288,6.3389,2.7628
33,2010,0.3193,15.9083,3.0000,12.0000,0.1410,0.2054,0.3586,0.8255,0.4231,1.6924,2.2436
33,2011,0.0399,0.0000,4.0000,7.0000,0.0784,0.2047,0.3714,0.8554,0.3135,0.5486,0.0000
33,2012,0.2848,0.3333,2.0000,10.0000,-0.0736,0.1820,0.3851,0.8351,-0.1471,-0.7357,-0.0245
33,2013,0.0132,0.0000,3.0000,9.0000,0.0694,0.2002,0.3956,0.8271,0.2082,0.6247,0.0000
33,2014,0.2051,1.5079,3.0000,8.0000,-0.6139,0.2053,0.4026,0.8064,-1.8416,-4.9110,-0.9257
33,2015,-0.0393,2.4536,5.0000,9.0000,-0.3634,0.2055,0.4117,0.7235,-1.8169,-3.2704,-0.8916
33,2016,-0.0162,0.0000,4.0000,8.0000,0.3718,0.2360,0.4161,0.6086,1.4871,2.9743,0.0000
33,2017,0.2240,7.6278,5.0000,8.0000,0.1175,0.2360,0.4161,0.6086,0.5877,0.9403,0.8965
34,2008,-0.3202,0.0000,8.0000,1.0000,-0.7213,0.0935,0.5433,4.4160,-5.7707,-0.7213,0.0000
34,2009,0.0106,0.0000,8.0000,0.0000,0.5763,0.1279,0.5466,3.6093,4.6101,0.0000,0.0000
34,2010,0.2212,0.0000,10.0000,0.0000,0.1410,0.1256,0.5532,3.7345,1.4103,0.0000,0.0000
34,2011,0.0112,0.0000,9.0000,0.0000,0.0784,0.0000,0.5569,3.7959,0.7054,0.0000,0.0000
34,2012,-0.0490,0.0000,10.0000,1.0000,-0.0736,0.0000,0.5638,3.7096,-0.7357,-0.0736,0.0000
34,2013,0.2165,0.0000,9.0000,1.0000,0.0694,0.0000,0.5658,3.6597,0.6247,0.0694,0.0000
34,2014,0.1686,0.0000,10.0000,0.0000,-0.6139,0.0000,0.5741,3.6230,-6.1387,0.0000,0.0000
34,2015,-0.1638,1.3333,8.0000,2.0000,-0.3634,0.0000,0.5822,3.2994,-2.9070,-0.7267,-0.4845
34,2016,0.0007,0.0000,10.0000,2.0000,0.3718,0.0000,0.5820,3.1842,3.7179,0.7436,0.0000
34,2017,-0.2025,0.7000,9.0000,3.0000,0.1175,0.0000,0.5820,3.1842,1.0578,0.3526,0.0823
